SUBMISSIONYEARQUARTER,PWSID,PWS_ACTIVITY_CODE,POPULATION_SERVED_COUNT,STATE_CODE
2026Q2,ND0300659,A,224,ND
2026Q2,ND4700922,A,170,ND
2026Q2,MN5180991,A,650,MN
2026Q2,MN5100082,A,200,MN
2026Q2,MN5730164,A,500,MN
2026Q2,MN5560657,A,250,MN
2026Q2,ND0511396,A,80,ND
2026Q2,ND0510149,A,25,ND
2026Q2,ND0511413,A,40,ND
2026Q2,ND0800096,A,80,ND
2026Q2,MN5700387,A,25,MN
2026Q2,ND3400980,A,996,ND
2026Q2,MN5230037,A,25,MN
2026Q2,MN5690892,A,25,MN
2026Q2,NC0145568,A,150,NC
2026Q2,NC0188435,A,220,NC
2026Q2,NC1088019,A,220,NC
2026Q2,NC0157521,A,150,NC
2026Q2,NC0138434,A,100,NC
2026Q2,NC0155506,A,75,NC
2026Q2,NC0276040,A,2413,NC
2026Q2,NC0161107,A,80,NC
2026Q2,NC0136240,A,69,NC
2026Q2,NC0149165,A,53,NC
2026Q2,NC0285492,A,135,NC
2026Q2,NC0291010,A,14937,NC
2026Q2,NC0106518,A,25,NC
2026Q2,NC0431485,A,600,NC
2026Q2,NC0431477,A,625,NC
2026Q2,NC1050012,A,30,NC
2026Q2,NC0279678,A,125,NC
2026Q2,NC1045015,A,60,NC
2026Q2,NC0103010,A,1900,NC
2026Q2,MI2040078,A,40,MI
2026Q2,IA3050472,A,70,IA
2026Q2,IA4641064,A,4792,IA
2026Q2,MN5100252,A,50,MN
2026Q2,MN1800002,A,742,MN
2026Q2,MI2023580,A,90,MI
2026Q2,IA1363051,A,671,IA
2026Q2,MI2033328,A,25,MI
2026Q2,MI2033428,A,25,MI
2026Q2,MI2005328,A,25,MI
2026Q2,MI2026128,A,25,MI
2026Q2,MI2026328,A,25,MI
2026Q2,MI2033528,A,25,MI
2026Q2,MN5020555,A,25,MN
2026Q2,MN5230176,A,50,MN
2026Q2,MN5580204,A,25,MN
2026Q2,MI2005228,A,25,MI
2026Q2,IA8273062,A,58,IA
2026Q2,MI2030045,A,30,MI
