SUBMISSIONYEARQUARTER,PWSID,VIOLATION_ID,VIOLATION_CATEGORY_CODE,IS_HEALTH_BASED_IND,CONTAMINANT_CODE
2026Q2,WA5300119,0465027,MCL,Y,1040
2026Q2,DE0000258,197,MCL,Y,1040
2026Q2,IA5800601,9007585,MCL,Y,1040
2026Q2,MI2001861,8615251,MCL,Y,1040
2026Q2,IA6000744,12580,MCL,Y,1040
2026Q2,CA5602106,8630953,MCL,Y,1040
2026Q2,MI2004262,8615171,MCL,Y,1040
2026Q2,CA1600001,8100164,MCL,Y,1040
2026Q2,TX0680030,1226782,MCL,Y,1040
2026Q2,AZ0407357,1008981,MCL,Y,1040
2026Q2,ND0400335,30186,MCL,Y,1040
2026Q2,MI2001264,8615066,MCL,Y,1040
2026Q2,CA4310006,8900494,MCL,Y,1040
2026Q2,CA2410012,8300221,MCL,Y,1040
2026Q2,AZ0407030,1276080,MCL,Y,1040
2026Q2,KS2005709,947,MCL,Y,1040
2026Q2,CA1000112,8632021,MCL,Y,1040
2026Q2,MI2000830,8615026,MCL,Y,1040
2026Q2,CA3000830,8000253,MCL,Y,1040
2026Q2,CA5610067,8010261,MCL,Y,1040
2026Q2,PA7670084,8409718,MCL,Y,1040
2026Q2,TX0630014,400485,MCL,Y,1040
2026Q2,NY1330069,295,MCL,Y,1040
2026Q2,CA5102019,8630739,MCL,Y,1040
2026Q2,CA2700983,8413624,MCL,Y,1040
2026Q2,OH1630212,8454807,MCL,Y,1040
2026Q2,CA3901182,8415982,MCL,Y,1040
2026Q2,MD1151002,8200425,MCL,Y,1040
2026Q2,DE0000041,1695,MCL,Y,1040
2026Q2,MI2006864,8615257,MCL,Y,1040
2026Q2,CA3910003,8400478,MCL,Y,1040
2026Q2,DE0001316,10490,MCL,Y,1040
2026Q2,CA3301394,8630192,MCL,Y,1040
2026Q2,DE0000834,1680,MCL,Y,1040
2026Q2,CA2700656,8100184,MCL,Y,1040
2026Q2,MD0002774,8000695,MCL,Y,1040
2026Q2,AZ0413329,390283,MCL,Y,1040
2026Q2,CA2400140,8412558,MCL,Y,1040
2026Q2,CA3310044,8400358,MCL,Y,1040
2026Q2,DE0000041,16792,MCL,Y,1040
2026Q2,IA0115042,11080,MCL,Y,1040
2026Q2,KS2017714,47781,MCL,Y,1040
2026Q2,WA5309356,2679851,MCL,Y,1040
2026Q2,CA4300784,8416451,MCL,Y,1040
2026Q2,TX0780013,1384580,MCL,Y,1040
2026Q2,MI3920070,8615233,MCL,Y,1040
2026Q2,CA1900003,8200142,MCL,Y,1040
2026Q2,CT0470041,4581,MCL,Y,1040
2026Q2,AK2340141,3926327,MCL,Y,1040
2026Q2,IA5815755,9010185,MCL,Y,1040
2026Q2,WA5352745,2596224,MCL,Y,1040
2026Q2,DE0002598,592,MCL,Y,1040
2026Q2,CA3310016,8400310,MCL,Y,1040
2026Q2,IL1435650,3303896,MCL,Y,1040
2026Q2,MD0060203,8300104,MCL,Y,1040
2026Q2,CA2000525,8200031,MCL,Y,1040
2026Q2,MD1101021,8001051,MCL,Y,1040
2026Q2,WA5301874,1470054,MCL,Y,1040
2026Q2,IA1444022,12080,MCL,Y,1040
2026Q2,MI3420017,8615031,MCL,Y,1040
2026Q2,CA3301394,8380037,MCL,Y,1040
2026Q2,MT0001401,34980,MCL,Y,1040
2026Q2,AZ0407388,43784,MCL,Y,1040
2026Q2,CA3000513,8317979,MCL,Y,1040
2026Q2,TX1040005,1234182,MCL,Y,1040
2026Q2,MI2022341,8615156,MCL,Y,1040
2026Q2,AZ0407096,1267480,MCL,Y,1040
2026Q2,CA5602111,8630970,MCL,Y,1040
2026Q2,PA7210812,8538452,MCL,Y,1040
2026Q2,IA1970826,15480,MCL,Y,1040
2026Q2,CA4300575,8200087,MCL,Y,1040
2026Q2,CA4300577,8416242,MCL,Y,1040
2026Q2,IA1570032,14180,MCL,Y,1040
2026Q2,CA5400663,8200135,MCL,Y,1040
